day_pt,referring_domain,joins,interval_start_timestamp
2026-08-16T00:00:00+00:00,Unknown,117,2026-08-16T00:00:00+00:00
2026-08-16T00:00:00+00:00,accounts.spotify.com,1,2026-08-16T00:00:00+00:00
2026-08-16T00:00:00+00:00,auth.riotgames.com,1,2026-08-16T00:00:00+00:00
2026-08-16T00:00:00+00:00,discord.com,1,2026-08-16T00:00:00+00:00
2026-08-16T00:00:00+00:00,novaboosting.com,1,2026-08-16T00:00:00+00:00
2026-08-16T00:00:00+00:00,search.brave.com,2,2026-08-16T00:00:00+00:00
2026-08-16T00:00:00+00:00,www.arenabreakoutinfinite.com,1,2026-08-16T00:00:00+00:00
2026-08-16T00:00:00+00:00,www.bing.com,1,2026-08-16T00:00:00+00:00
2026-08-16T00:00:00+00:00,www.dndbeyond.com,1,2026-08-16T00:00:00+00:00
2026-08-16T00:00:00+00:00,www.google.com,13,2026-08-16T00:00:00+00:00
2026-08-16T00:00:00+00:00,www.instant-gaming.com,1,2026-08-16T00:00:00+00:00
