day_pt,new_members,pct_retained
2026-04-20T00:00:00.000Z,37,37.83783783783784
2026-04-27T00:00:00.000Z,27,37.03703703703704
2026-05-04T00:00:00.000Z,28,46.42857142857143
2026-05-11T00:00:00.000Z,33,15.151515151515152
2026-05-18T00:00:00.000Z,30,36.666666666666664
2026-05-25T00:00:00.000Z,36,30.555555555555557
2026-06-01T00:00:00.000Z,34,41.17647058823529
2026-06-08T00:00:00.000Z,26,34.61538461538461
2026-06-15T00:00:00.000Z,35,34.285714285714285
2026-06-22T00:00:00.000Z,35,45.714285714285715
2026-06-29T00:00:00.000Z,19,42.10526315789473
2026-07-06T00:00:00.000Z,28,21.428571428571427
2026-07-13T00:00:00.000Z,27,37.03703703703704
2026-07-20T00:00:00.000Z,35,40
2026-07-27T00:00:00.000Z,30,50
2026-08-03T00:00:00.000Z,40,30
