interval_start_timestamp,channel_name,channel_id,listeners,communicators
2026-08-30T00:00:00+00:00,🥇vip lounge,1304416228093329449,0,0
2026-08-30T00:00:00+00:00,Mod Voice,1325942392020537508,3,2
2026-08-30T00:00:00+00:00,🎥Streamer VC,1326984426906714236,6,6
2026-08-30T00:00:00+00:00,OLD Street Brawl Lanes,1357422958544420944,0,0
2026-08-30T00:00:00+00:00,AFK,1407787129899057242,0,0
2026-08-30T00:00:00+00:00,🗨️Off Topic Voice,1411391356278018245,38,40
2026-08-30T00:00:00+00:00,ALTE Ranked lane,1412804671432818890,0,0
2026-08-30T00:00:00+00:00,🏆Coaching Lane🏆,1423662511001043075,18,17
2026-08-30T00:00:00+00:00,Team 1,1462434609563173019,22,22
2026-08-30T00:00:00+00:00,Team 2,1462434639858897017,5,5
2026-08-30T00:00:00+00:00,🆕Neue Spieler Lane,1470126503252721845,51,53
2026-08-30T00:00:00+00:00,🫧 💦Die Juice Kammer,1493690350580138114,39,39
2026-08-30T00:00:00+00:00,Team 3,1495103929846071517,0,0
2026-08-30T00:00:00+00:00,Team 4,1495103961622122536,0,0
2026-08-30T00:00:00+00:00,🎦Caster Channel,1495155113772450042,6,6
2026-08-30T00:00:00+00:00,Lane 2,1499862579324125385,0,0
2026-08-30T00:00:00+00:00,OLD Lane eröffnen,1501089974093873232,0,0
2026-08-30T00:00:00+00:00,No-Rage-Voice ❤️,1505618194017161267,56,57
2026-08-30T00:00:00+00:00,🏳️Sammelpunkt,1512624055814062090,22,22
2026-08-30T00:00:00+00:00,➕Sprachkanal erstellen,1513468587195633674,4,19
2026-08-30T00:00:00+00:00,Shiv-support-voice,1521167264533970954,17,16
2026-08-30T00:00:00+00:00,Urn Runners Voice,1521167309828526183,19,17
2026-08-30T00:00:00+00:00,Return Fire Department Voice,1521167476711358505,13,13
2026-08-30T00:00:00+00:00,TetraHex Voice,1521939025982652416,19,18
2026-08-30T00:00:00+00:00,After-Scrimchannel,1528447165926604991,30,28
