day_pt,days_in_guild,leavers,interval_start_timestamp
2026-05-10T00:00:00+00:00,Members for 1 month+,11,2026-05-10T00:00:00+00:00
2026-05-10T00:00:00+00:00,Members for < 1 month,9,2026-05-10T00:00:00+00:00
2026-05-17T00:00:00+00:00,Members for 1 month+,12,2026-05-17T00:00:00+00:00
2026-05-17T00:00:00+00:00,Members for < 1 month,7,2026-05-17T00:00:00+00:00
2026-05-24T00:00:00+00:00,Members for 1 month+,3,2026-05-24T00:00:00+00:00
2026-05-24T00:00:00+00:00,Members for < 1 month,6,2026-05-24T00:00:00+00:00
2026-05-31T00:00:00+00:00,Members for 1 month+,11,2026-05-31T00:00:00+00:00
2026-05-31T00:00:00+00:00,Members for < 1 month,12,2026-05-31T00:00:00+00:00
2026-06-07T00:00:00+00:00,Members for 1 month+,11,2026-06-07T00:00:00+00:00
2026-06-07T00:00:00+00:00,Members for < 1 month,4,2026-06-07T00:00:00+00:00
2026-06-14T00:00:00+00:00,Members for 1 month+,4,2026-06-14T00:00:00+00:00
2026-06-14T00:00:00+00:00,Members for < 1 month,8,2026-06-14T00:00:00+00:00
2026-06-21T00:00:00+00:00,Members for 1 month+,8,2026-06-21T00:00:00+00:00
2026-06-21T00:00:00+00:00,Members for < 1 month,17,2026-06-21T00:00:00+00:00
2026-06-28T00:00:00+00:00,Members for 1 month+,11,2026-06-28T00:00:00+00:00
2026-06-28T00:00:00+00:00,Members for < 1 month,11,2026-06-28T00:00:00+00:00
2026-07-05T00:00:00+00:00,Members for 1 month+,5,2026-07-05T00:00:00+00:00
2026-07-05T00:00:00+00:00,Members for < 1 month,7,2026-07-05T00:00:00+00:00
2026-07-12T00:00:00+00:00,Members for 1 month+,8,2026-07-12T00:00:00+00:00
2026-07-12T00:00:00+00:00,Members for < 1 month,5,2026-07-12T00:00:00+00:00
2026-07-19T00:00:00+00:00,Members for 1 month+,13,2026-07-19T00:00:00+00:00
2026-07-19T00:00:00+00:00,Members for < 1 month,8,2026-07-19T00:00:00+00:00
2026-07-26T00:00:00+00:00,Members for 1 month+,13,2026-07-26T00:00:00+00:00
2026-07-26T00:00:00+00:00,Members for < 1 month,12,2026-07-26T00:00:00+00:00
2026-08-02T00:00:00+00:00,Members for 1 month+,5,2026-08-02T00:00:00+00:00
2026-08-02T00:00:00+00:00,Members for < 1 month,11,2026-08-02T00:00:00+00:00
2026-08-09T00:00:00+00:00,Members for 1 month+,4,2026-08-09T00:00:00+00:00
2026-08-09T00:00:00+00:00,Members for < 1 month,9,2026-08-09T00:00:00+00:00
2026-08-16T00:00:00+00:00,Members for 1 month+,18,2026-08-16T00:00:00+00:00
2026-08-16T00:00:00+00:00,Members for < 1 month,9,2026-08-16T00:00:00+00:00
2026-08-23T00:00:00+00:00,Members for 1 month+,10,2026-08-23T00:00:00+00:00
2026-08-23T00:00:00+00:00,Members for < 1 month,10,2026-08-23T00:00:00+00:00
2026-08-30T00:00:00+00:00,Members for 1 month+,13,2026-08-30T00:00:00+00:00
2026-08-30T00:00:00+00:00,Members for < 1 month,6,2026-08-30T00:00:00+00:00
