day_pt,discovery_joins,invites,vanity_joins,hubs_joins,bot_joins,integration_joins,other_joins,total_joins,interval_start_timestamp
2026-05-10T00:00:00+00:00,3,9,18,0,0,0,2,32,2026-05-10T00:00:00+00:00
2026-05-17T00:00:00+00:00,3,13,15,0,0,0,0,31,2026-05-17T00:00:00+00:00
2026-05-24T00:00:00+00:00,5,20,12,0,0,0,0,37,2026-05-24T00:00:00+00:00
2026-05-31T00:00:00+00:00,9,9,15,0,0,0,0,33,2026-05-31T00:00:00+00:00
2026-06-07T00:00:00+00:00,2,13,12,0,0,0,0,27,2026-06-07T00:00:00+00:00
2026-06-14T00:00:00+00:00,8,11,17,0,0,0,0,36,2026-06-14T00:00:00+00:00
2026-06-21T00:00:00+00:00,6,17,13,0,0,0,1,37,2026-06-21T00:00:00+00:00
2026-06-28T00:00:00+00:00,3,7,6,0,0,0,1,17,2026-06-28T00:00:00+00:00
2026-07-05T00:00:00+00:00,4,6,11,0,0,0,5,26,2026-07-05T00:00:00+00:00
2026-07-12T00:00:00+00:00,3,9,12,0,0,0,5,29,2026-07-12T00:00:00+00:00
2026-07-19T00:00:00+00:00,4,17,10,0,0,0,0,31,2026-07-19T00:00:00+00:00
2026-07-26T00:00:00+00:00,6,8,15,0,0,0,1,30,2026-07-26T00:00:00+00:00
2026-08-02T00:00:00+00:00,9,14,14,0,0,0,3,40,2026-08-02T00:00:00+00:00
2026-08-09T00:00:00+00:00,14,9,16,0,0,0,0,39,2026-08-09T00:00:00+00:00
2026-08-16T00:00:00+00:00,13,17,19,0,0,0,1,50,2026-08-16T00:00:00+00:00
2026-08-23T00:00:00+00:00,7,3,15,0,0,0,0,25,2026-08-23T00:00:00+00:00
2026-08-30T00:00:00+00:00,12,4,13,0,0,0,0,29,2026-08-30T00:00:00+00:00
