day_pt,new_members,pct_retained,interval_start_timestamp
2026-05-24T00:00:00+00:00,37,29.72972972972973,2026-05-24T00:00:00+00:00
2026-05-31T00:00:00+00:00,33,39.39393939393939,2026-05-31T00:00:00+00:00
2026-06-07T00:00:00+00:00,27,37.03703703703704,2026-06-07T00:00:00+00:00
2026-06-14T00:00:00+00:00,36,36.11111111111111,2026-06-14T00:00:00+00:00
2026-06-21T00:00:00+00:00,37,43.24324324324324,2026-06-21T00:00:00+00:00
2026-06-28T00:00:00+00:00,17,41.17647058823529,2026-06-28T00:00:00+00:00
2026-07-05T00:00:00+00:00,26,26.923076923076923,2026-07-05T00:00:00+00:00
2026-07-12T00:00:00+00:00,29,37.93103448275862,2026-07-12T00:00:00+00:00
2026-07-19T00:00:00+00:00,31,38.70967741935484,2026-07-19T00:00:00+00:00
2026-07-26T00:00:00+00:00,30,40,2026-07-26T00:00:00+00:00
2026-08-02T00:00:00+00:00,40,35,2026-08-02T00:00:00+00:00
2026-08-09T00:00:00+00:00,39,46.15384615384615,2026-08-09T00:00:00+00:00
2026-08-16T00:00:00+00:00,50,48,2026-08-16T00:00:00+00:00
2026-08-23T00:00:00+00:00,25,36,2026-08-23T00:00:00+00:00
2026-08-30T00:00:00+00:00,29,48.275862068965516,2026-08-30T00:00:00+00:00
