interval_start_timestamp,channel_name,channel_id,readers,chatters,messages
2026-09-12T00:00:00+00:00,🤝teil-vom-team-werden,1544026617733710006,97,0,0
2026-09-12T00:00:00+00:00,,1544325743666925598,7,1,13
2026-09-12T00:00:00+00:00,,1544729993052168334,14,3,12
2026-09-12T00:00:00+00:00,,1544740946577727589,3,1,1
2026-09-12T00:00:00+00:00,,1545036887599742996,5,1,1
2026-09-12T00:00:00+00:00,,1545072797691150516,2,1,1
2026-09-12T00:00:00+00:00,,1545124191903293450,7,1,1
2026-09-12T00:00:00+00:00,,1545394725702344754,8,1,1
2026-09-12T00:00:00+00:00,🐍deadlock-tipps-und-tricks,1545517234837917888,54,3,3
2026-09-12T00:00:00+00:00,closed-0070,1545896871103434894,2,0,0
2026-09-12T00:00:00+00:00,,1546462444711317554,6,1,2
2026-09-12T00:00:00+00:00,🚄 Movement Session,1547199964445409291,29,21,523
2026-09-12T00:00:00+00:00,ticket-0071,1548023492014903366,3,2,15
2026-09-12T00:00:00+00:00,,1548101113989824606,1,1,1
2026-09-12T00:00:00+00:00,,1548239454655881216,7,0,0
2026-09-12T00:00:00+00:00,,1548379413492535306,2,1,2
2026-09-12T00:00:00+00:00,,1548415862250410024,6,1,2
