day_pt,days_in_guild,leavers,interval_start_timestamp
2026-03-31T00:00:00+00:00,Members for 1 month+,31,2026-03-31T00:00:00+00:00
2026-03-31T00:00:00+00:00,Members for < 1 month,57,2026-03-31T00:00:00+00:00
2026-04-30T00:00:00+00:00,Members for 1 month+,45,2026-04-30T00:00:00+00:00
2026-04-30T00:00:00+00:00,Members for < 1 month,46,2026-04-30T00:00:00+00:00
2026-05-30T00:00:00+00:00,Members for 1 month+,40,2026-05-30T00:00:00+00:00
2026-05-30T00:00:00+00:00,Members for < 1 month,36,2026-05-30T00:00:00+00:00
2026-06-29T00:00:00+00:00,Members for 1 month+,37,2026-06-29T00:00:00+00:00
2026-06-29T00:00:00+00:00,Members for < 1 month,42,2026-06-29T00:00:00+00:00
