interval_start_timestamp,messages,messages_per_communicator
2026-05-16T00:00:00+00:00,187,1.9893617021276595
2026-05-23T00:00:00+00:00,336,3.6923076923076925
2026-05-30T00:00:00+00:00,215,2.216494845360825
2026-06-06T00:00:00+00:00,285,2.85
2026-06-13T00:00:00+00:00,728,7.663157894736842
2026-06-20T00:00:00+00:00,740,6.666666666666667
2026-06-27T00:00:00+00:00,515,5.5978260869565215
2026-07-04T00:00:00+00:00,1978,17.504424778761063
2026-07-11T00:00:00+00:00,1108,11.663157894736843
2026-07-18T00:00:00+00:00,1415,13.737864077669903
2026-07-25T00:00:00+00:00,1391,13.91
2026-08-01T00:00:00+00:00,2031,18.63302752293578
2026-08-08T00:00:00+00:00,1727,15.558558558558559
2026-08-15T00:00:00+00:00,1730,14.913793103448276
2026-08-22T00:00:00+00:00,1583,17.021505376344088
2026-08-29T00:00:00+00:00,1131,12.03191489361702
2026-09-05T00:00:00+00:00,1051,9.642201834862385
