interval_start_timestamp,visitors,pct_communicated
2026-05-16T00:00:00+00:00,397,23.67758186397985
2026-05-23T00:00:00+00:00,370,24.594594594594597
2026-05-30T00:00:00+00:00,411,23.600973236009732
2026-06-06T00:00:00+00:00,420,23.809523809523807
2026-06-13T00:00:00+00:00,397,23.929471032745592
2026-06-20T00:00:00+00:00,409,27.139364303178482
2026-06-27T00:00:00+00:00,374,24.598930481283425
2026-07-04T00:00:00+00:00,546,20.695970695970693
2026-07-11T00:00:00+00:00,343,27.696793002915456
2026-07-18T00:00:00+00:00,465,22.1505376344086
2026-07-25T00:00:00+00:00,511,19.569471624266143
2026-08-01T00:00:00+00:00,517,21.08317214700193
2026-08-08T00:00:00+00:00,468,23.717948717948715
2026-08-15T00:00:00+00:00,500,23.200000000000003
2026-08-22T00:00:00+00:00,460,20.217391304347824
2026-08-29T00:00:00+00:00,440,21.363636363636363
2026-09-05T00:00:00+00:00,513,21.24756335282651
