day_pt,discovery_joins,invites,vanity_joins,hubs_joins,bot_joins,integration_joins,other_joins,total_joins,interval_start_timestamp
2026-05-16T00:00:00+00:00,4,14,15,0,0,0,1,34,2026-05-16T00:00:00+00:00
2026-05-23T00:00:00+00:00,4,12,13,0,0,0,0,29,2026-05-23T00:00:00+00:00
2026-05-30T00:00:00+00:00,10,17,14,0,0,0,0,41,2026-05-30T00:00:00+00:00
2026-06-06T00:00:00+00:00,2,13,11,0,0,0,0,26,2026-06-06T00:00:00+00:00
2026-06-13T00:00:00+00:00,8,9,17,0,0,0,0,34,2026-06-13T00:00:00+00:00
2026-06-20T00:00:00+00:00,6,20,16,0,0,0,1,43,2026-06-20T00:00:00+00:00
2026-06-27T00:00:00+00:00,2,4,6,0,0,0,1,13,2026-06-27T00:00:00+00:00
2026-07-04T00:00:00+00:00,4,9,10,0,0,0,2,25,2026-07-04T00:00:00+00:00
2026-07-11T00:00:00+00:00,4,9,11,0,0,0,7,30,2026-07-11T00:00:00+00:00
2026-07-18T00:00:00+00:00,4,12,11,0,0,0,1,28,2026-07-18T00:00:00+00:00
2026-07-25T00:00:00+00:00,6,13,13,0,0,0,0,32,2026-07-25T00:00:00+00:00
2026-08-01T00:00:00+00:00,7,13,11,0,0,0,3,34,2026-08-01T00:00:00+00:00
2026-08-08T00:00:00+00:00,12,9,20,0,0,0,1,42,2026-08-08T00:00:00+00:00
2026-08-15T00:00:00+00:00,15,17,16,0,0,0,1,49,2026-08-15T00:00:00+00:00
2026-08-22T00:00:00+00:00,7,4,18,0,0,0,0,29,2026-08-22T00:00:00+00:00
2026-08-29T00:00:00+00:00,12,3,14,0,0,0,0,29,2026-08-29T00:00:00+00:00
2026-09-05T00:00:00+00:00,8,11,19,0,0,0,2,40,2026-09-05T00:00:00+00:00
