day_pt,new_members,pct_communicated,pct_opened_channels,interval_start_timestamp
2026-05-06T00:00:00+00:00,34,26.47058823529412,44.11764705882353,2026-05-06T00:00:00+00:00
2026-05-13T00:00:00+00:00,31,38.70967741935484,74.19354838709677,2026-05-13T00:00:00+00:00
2026-05-20T00:00:00+00:00,30,23.333333333333332,60,2026-05-20T00:00:00+00:00
2026-05-27T00:00:00+00:00,36,22.22222222222222,41.66666666666667,2026-05-27T00:00:00+00:00
2026-06-03T00:00:00+00:00,33,27.27272727272727,51.515151515151516,2026-06-03T00:00:00+00:00
2026-06-10T00:00:00+00:00,31,35.483870967741936,64.51612903225806,2026-06-10T00:00:00+00:00
2026-06-17T00:00:00+00:00,39,30.76923076923077,53.84615384615385,2026-06-17T00:00:00+00:00
2026-06-24T00:00:00+00:00,27,22.22222222222222,40.74074074074074,2026-06-24T00:00:00+00:00
2026-07-01T00:00:00+00:00,21,14.285714285714285,38.095238095238095,2026-07-01T00:00:00+00:00
2026-07-08T00:00:00+00:00,26,19.230769230769234,42.30769230769231,2026-07-08T00:00:00+00:00
2026-07-15T00:00:00+00:00,26,11.538461538461538,46.15384615384615,2026-07-15T00:00:00+00:00
2026-07-22T00:00:00+00:00,40,27.500000000000004,50,2026-07-22T00:00:00+00:00
2026-07-29T00:00:00+00:00,28,50,60.71428571428571,2026-07-29T00:00:00+00:00
2026-08-05T00:00:00+00:00,44,34.090909090909086,61.36363636363637,2026-08-05T00:00:00+00:00
2026-08-12T00:00:00+00:00,43,34.883720930232556,53.48837209302325,2026-08-12T00:00:00+00:00
2026-08-19T00:00:00+00:00,41,17.073170731707318,63.41463414634146,2026-08-19T00:00:00+00:00
2026-08-26T00:00:00+00:00,22,22.727272727272727,45.45454545454545,2026-08-26T00:00:00+00:00
