interval_start_timestamp,messages,messages_per_communicator
2026-05-06T00:00:00+00:00,508,4.163934426229508
2026-05-13T00:00:00+00:00,242,2.2
2026-05-20T00:00:00+00:00,276,2.967741935483871
2026-05-27T00:00:00+00:00,241,2.5638297872340425
2026-06-03T00:00:00+00:00,282,2.82
2026-06-10T00:00:00+00:00,496,5.221052631578948
2026-06-17T00:00:00+00:00,853,8.201923076923077
2026-06-24T00:00:00+00:00,566,5.66
2026-07-01T00:00:00+00:00,1476,13.297297297297296
2026-07-08T00:00:00+00:00,1360,12.477064220183486
2026-07-15T00:00:00+00:00,789,8.393617021276595
2026-07-22T00:00:00+00:00,1918,17.925233644859812
2026-07-29T00:00:00+00:00,1457,14.86734693877551
2026-08-05T00:00:00+00:00,2293,19.93913043478261
2026-08-12T00:00:00+00:00,1612,14.392857142857142
2026-08-19T00:00:00+00:00,1420,12.792792792792794
2026-08-26T00:00:00+00:00,1350,16.875
