day_pt,new_members,pct_retained,interval_start_timestamp
2026-05-01T00:00:00+00:00,26,38.46153846153847,2026-05-01T00:00:00+00:00
2026-05-08T00:00:00+00:00,32,31.25,2026-05-08T00:00:00+00:00
2026-05-15T00:00:00+00:00,35,31.428571428571427,2026-05-15T00:00:00+00:00
2026-05-22T00:00:00+00:00,28,25,2026-05-22T00:00:00+00:00
2026-05-29T00:00:00+00:00,38,34.21052631578947,2026-05-29T00:00:00+00:00
2026-06-05T00:00:00+00:00,31,38.70967741935484,2026-06-05T00:00:00+00:00
2026-06-12T00:00:00+00:00,32,28.125,2026-06-12T00:00:00+00:00
2026-06-19T00:00:00+00:00,43,44.18604651162791,2026-06-19T00:00:00+00:00
2026-06-26T00:00:00+00:00,16,37.5,2026-06-26T00:00:00+00:00
2026-07-03T00:00:00+00:00,20,45,2026-07-03T00:00:00+00:00
2026-07-10T00:00:00+00:00,33,33.33333333333333,2026-07-10T00:00:00+00:00
2026-07-17T00:00:00+00:00,28,25,2026-07-17T00:00:00+00:00
2026-07-24T00:00:00+00:00,31,54.83870967741935,2026-07-24T00:00:00+00:00
2026-07-31T00:00:00+00:00,34,32.35294117647059,2026-07-31T00:00:00+00:00
2026-08-07T00:00:00+00:00,44,40.909090909090914,2026-08-07T00:00:00+00:00
2026-08-14T00:00:00+00:00,48,47.91666666666667,2026-08-14T00:00:00+00:00
