day_pt,referring_domain,joins,interval_start_timestamp
2026-08-27T00:00:00+00:00,Unknown,102,2026-08-27T00:00:00+00:00
2026-08-27T00:00:00+00:00,auth.riotgames.com,1,2026-08-27T00:00:00+00:00
2026-08-27T00:00:00+00:00,novaboosting.com,1,2026-08-27T00:00:00+00:00
2026-08-27T00:00:00+00:00,search.brave.com,2,2026-08-27T00:00:00+00:00
2026-08-27T00:00:00+00:00,www.bing.com,1,2026-08-27T00:00:00+00:00
2026-08-27T00:00:00+00:00,www.google.com,12,2026-08-27T00:00:00+00:00
2026-08-27T00:00:00+00:00,www.instant-gaming.com,1,2026-08-27T00:00:00+00:00
2026-08-27T00:00:00+00:00,www.youtube.com,1,2026-08-27T00:00:00+00:00
