interval_start_timestamp,speaking_minutes
2026-05-06T00:00:00+00:00,17615
2026-05-13T00:00:00+00:00,17771
2026-05-20T00:00:00+00:00,16170
2026-05-27T00:00:00+00:00,14841
2026-06-03T00:00:00+00:00,19780
2026-06-10T00:00:00+00:00,19922
2026-06-17T00:00:00+00:00,15390
2026-06-24T00:00:00+00:00,14245
2026-07-01T00:00:00+00:00,15868
2026-07-08T00:00:00+00:00,21118
2026-07-15T00:00:00+00:00,18744
2026-07-22T00:00:00+00:00,27025
2026-07-29T00:00:00+00:00,29504
2026-08-05T00:00:00+00:00,24113
2026-08-12T00:00:00+00:00,26806
2026-08-19T00:00:00+00:00,32672
2026-08-26T00:00:00+00:00,19181
