interval_start_timestamp,visitors,pct_communicated
2026-05-06T00:00:00+00:00,464,26.29310344827586
2026-05-13T00:00:00+00:00,419,26.25298329355609
2026-05-20T00:00:00+00:00,349,26.64756446991404
2026-05-27T00:00:00+00:00,395,23.79746835443038
2026-06-03T00:00:00+00:00,428,23.364485981308412
2026-06-10T00:00:00+00:00,418,22.727272727272727
2026-06-17T00:00:00+00:00,397,26.19647355163728
2026-06-24T00:00:00+00:00,420,23.809523809523807
2026-07-01T00:00:00+00:00,539,20.59369202226345
2026-07-08T00:00:00+00:00,381,28.608923884514436
2026-07-15T00:00:00+00:00,327,28.74617737003058
2026-07-22T00:00:00+00:00,532,20.112781954887218
2026-07-29T00:00:00+00:00,381,25.72178477690289
2026-08-05T00:00:00+00:00,544,21.139705882352942
2026-08-12T00:00:00+00:00,452,24.778761061946902
2026-08-19T00:00:00+00:00,488,22.74590163934426
2026-08-26T00:00:00+00:00,360,22.22222222222222
